Poem name,Poet,Line,Metaphor present or not,count of the metaphor,Metaphorical terms,The target domain,The source domain,Meaning
අසක්දා කව​,ගුණදාස අමරසේකර​,අඩ සඳ නළල නිලුපුල් සදිසි දෙනු ව න​,yes,1,අඩ සඳ නළල,නළල,අඩ සඳ,The forehead is similar to half moon
අසක්දා කව​,ගුණදාස අමරසේකර​,සිකි පිල වරල රතදර වුවන සිසි ව න ,yes,1,සිකි පිල වරල,වරල,සිකි පිල,Hair is similar to feathers of a peocock
අසක්දා කව​,ගුණදාස අමරසේකර​,රන හස දෙතන සිහිනිග උකුළ පතු රු ණ​,yes,1,රන හස දෙතන,දෙතන,රන හස,Breasts are similar to golden swan
අසක්දා කව​,ගුණදාස අමරසේකර​,සැබවින් මෙ මා රුව වෙද මෙලෙසින් පෙ නෙ න​,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,නිදහස මහ මුහුදක් වේ,yes,1,නිදහස මහ මුහුදක්,නිදහස,මහ මුහුදක්,Peace is similar to the sea
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,එහි උල්පත පුත නුඹ වේ,yes,1,උල්පත පුත,පුත,උල්පත,Son is related to fountain
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,ඒ බව සිගිකොට මෙලො වේ,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,යුතුකම ඉටු කළ යුතු වේ,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,ජාතිය රන් විමනක් වේ,yes,1,ජාතිය රන් විමනක්,ජාතිය,රන් විමනක්,Nation is similar to golden plane
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,ආගම මිණි පහනක් වේ,yes,1,ආගම මිණි පහනක්,ආගම,මිණි පහනක්,Religon is like a lamp made of gem
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,එය රැකගන්නට මෙ ලොවේ,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,සමත් වෙතොත් පුත නුඹ වේ,no,0,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,ව න සි රි පියුම්‍ රා බඳ රනබරණ යුරු ,yes,1,ව න සි රි,කාන්තාව,වනය,Lady is related to a forest by the aurthor
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,ව ට පි රි සුපුල් දුනුකේ මල් මුරුතතුරු,no,0,,,,
වස්සානය,රත්න ශ්‍රී විජේසිංහ,සෙනේහය පිරි ගිය ඔබෙ නයන නිල් පොකුණ​,yes,1,නයන නිල් පොකුණ,නයන,නිල් පොකුණ,Eyes are like a blue pond
වස්සානය,රත්න ශ්‍රී විජේසිංහ,දිය නිල්න වැසි සමේ රැලි නගා උතුරා ය​,no,0,,,,
අඩ සඳ,මීමන ප්‍රේමතිලක,රුමති යන්නේ මුව තඹරට පැරද ,yes,1,මුව තඹරට,මුව,තඹරට,Face is similar to a lotus flower
අඩ සඳ,මීමන ප්‍රේමතිලක,දෑකැති හදමු කපනට සර වනය ,no,0,,,,
